datetime_local,settlementDate,settlementPeriod,systemSellPrice,systemBuyPrice,BIOMASS,CCGT,COAL,INTELE,INTELEC,INTEW,INTFR,INTGRNL,INTIFA2,INTIRL,INTNED,INTNEM,INTNSL,INTVKL,NPSHYD,NUCLEAR,OCGT,OIL,OTHER,PS,WIND,initialDemandOutturn,initialTransmissionSystemDemandOutturn,solar_generation_mw,temperature_2m,wind_speed_10m,cloud_cover,gas_price_close,gas_price_high,gas_price_low,sentiment_score,article_count,systemSellPrice_lag_1,systemBuyPrice_lag_1,systemSellPrice_lag_2,systemSellPrice_lag_48,systemSellPrice_rolling_24h_mean,systemSellPrice_rolling_24h_std,systemSellPrice_rolling_7d_mean,gas_price_close_lag_48,gas_price_close_lag_96,gas_price_day_change,total_interconnector_imports,daily_sentiment_lag_48,article_count_lag_48,hour,day_of_week,month,is_weekend
2020-01-08 00:00:00+00:00,2020-01-08,1,2.5,2.5,2069.0,3715.0,574.0,0.0,0.0,-72.0,-672.0,0.0,0.0,-326.0,348.0,-682.0,0.0,0.0,604.0,6642.0,1.0,0.0,131.0,-548.0,11559.0,22643.0,25543.0,0.0,11.9,25.1,100.0,11.96500015258789,12.050000190734863,11.824999809265137,-0.0658497142139822,36,4.5,4.5,28.16,5.1,28.75125,21.232893853240515,28.73653922619048,11.93000030517578,12.279999732971191,-0.3499994277954101,-1404.0,-0.20134310996426,35.0,0,2,1,0
2020-01-08 00:30:00+00:00,2020-01-08,2,2.5,2.5,2054.0,3920.0,590.0,0.0,0.0,-16.0,-672.0,0.0,0.0,-388.0,340.0,-680.0,0.0,0.0,604.0,6639.0,1.0,0.0,133.0,-20.0,11210.0,23050.0,25427.0,0.0,11.65,25.3,76.5,11.96500015258789,12.050000190734863,11.824999809265137,-0.0658497142139822,36,2.5,2.5,4.5,23.72,28.69708333333333,21.297731070676647,28.592491607142858,11.93000030517578,12.279999732971191,-0.3499994277954101,-1416.0,-0.20134310996426,35.0,0,2,1,0
2020-01-08 01:00:00+00:00,2020-01-08,3,2.5,2.5,2224.0,3999.0,388.0,0.0,0.0,-140.0,-672.0,0.0,0.0,-456.0,412.0,-624.0,0.0,0.0,625.0,6650.0,1.0,0.0,126.0,-252.0,11343.0,22865.0,25635.0,0.0,11.4,25.5,53.0,11.96500015258789,12.050000190734863,11.824999809265137,-0.0658497142139822,36,2.5,2.5,2.5,24.08,28.255,21.62102119343137,28.44814636904762,11.93000030517578,12.279999732971191,-0.3499994277954101,-1480.0,-0.20134310996426,35.0,1,2,1,0
2020-01-08 01:30:00+00:00,2020-01-08,4,2.5,2.5,2235.0,3729.0,337.0,0.0,0.0,-220.0,-672.0,0.0,0.0,-456.0,412.0,-624.0,0.0,0.0,622.0,6686.0,1.0,0.0,134.0,-504.0,11353.0,22313.0,25387.0,0.0,11.3,25.8,76.0,11.96500015258789,12.050000190734863,11.824999809265137,-0.0658497142139822,36,2.5,2.5,2.5,22.8,27.80541666666667,21.931813864730003,28.36817595238095,11.93000030517578,12.279999732971191,-0.3499994277954101,-1560.0,-0.20134310996426,35.0,1,2,1,0
2020-01-08 02:00:00+00:00,2020-01-08,5,14.56,14.56,2240.0,3659.0,503.0,0.0,0.0,-384.0,-678.0,0.0,0.0,-456.0,136.0,-128.0,0.0,0.0,621.0,6699.0,1.0,0.0,126.0,-922.0,11335.0,22062.0,25217.0,0.0,11.2,26.1,99.0,11.96500015258789,12.050000190734863,11.824999809265137,-0.0658497142139822,36,2.5,2.5,2.5,22.0,27.3825,22.224164680470693,28.29073547619048,11.93000030517578,12.279999732971191,-0.3499994277954101,-1510.0,-0.20134310996426,35.0,2,2,1,0
2020-01-08 02:30:00+00:00,2020-01-08,6,14.28,14.28,2243.0,3608.0,532.0,0.0,0.0,-442.0,-678.0,0.0,0.0,-456.0,128.0,-116.0,0.0,0.0,621.0,6694.0,1.0,0.0,144.0,-926.0,11118.0,21791.0,25008.0,0.0,11.0,25.4,99.0,11.96500015258789,12.050000190734863,11.824999809265137,-0.0658497142139822,36,14.56,14.56,2.5,5.1,27.2275,22.2883550837747,28.257342619047616,11.93000030517578,12.279999732971191,-0.3499994277954101,-1564.0,-0.20134310996426,35.0,2,2,1,0
2020-01-08 03:00:00+00:00,2020-01-08,7,2.5,2.5,2208.0,3416.0,559.0,0.0,0.0,-484.0,-684.0,0.0,0.0,-456.0,0.0,40.0,0.0,0.0,621.0,6696.0,0.0,0.0,119.0,-1046.0,11226.0,21487.0,24756.0,0.0,10.8,24.7,99.0,11.96500015258789,12.050000190734863,11.824999809265137,-0.0658497142139822,36,14.28,14.28,14.56,2.5,27.41875,22.13329163057893,28.226121845238097,11.93000030517578,12.279999732971191,-0.3499994277954101,-1584.0,-0.20134310996426,35.0,3,2,1,0
2020-01-08 03:30:00+00:00,2020-01-08,8,2.5,2.5,2204.0,3469.0,517.0,0.0,0.0,-500.0,-684.0,0.0,0.0,-376.0,0.0,42.0,0.0,0.0,622.0,6694.0,0.0,0.0,114.0,-1382.0,11197.0,21194.0,24736.0,0.0,10.6,24.05,99.5,11.96500015258789,12.050000190734863,11.824999809265137,-0.0658497142139822,36,2.5,2.5,14.28,0.0,27.41875,22.13329163057893,28.083264702380955,11.93000030517578,12.279999732971191,-0.3499994277954101,-1518.0,-0.20134310996426,35.0,3,2,1,0
2020-01-08 04:00:00+00:00,2020-01-08,9,28.26,28.26,2225.0,3612.0,418.0,0.0,0.0,-352.0,-704.0,0.0,0.0,-380.0,-206.0,-150.0,0.0,0.0,607.0,6684.0,1.0,0.0,114.0,-1102.0,11155.0,21241.0,24735.0,0.0,10.4,23.4,100.0,11.96500015258789,12.050000190734863,11.824999809265137,-0.0658497142139822,36,2.5,2.5,2.5,5.1,27.47083333333333,22.07024962341197,27.941895654761908,11.93000030517578,12.279999732971191,-0.3499994277954101,-1792.0,-0.20134310996426,35.0,4,2,1,0
2020-01-08 04:30:00+00:00,2020-01-08,10,29.0,29.0,2238.0,3675.0,481.0,0.0,0.0,-262.0,-706.0,0.0,0.0,-400.0,-216.0,-152.0,0.0,0.0,606.0,6686.0,1.0,0.0,104.0,-732.0,10933.0,21589.0,24656.0,0.0,10.25,21.45,95.5,11.96500015258789,12.050000190734863,11.824999809265137,-0.0658497142139822,36,28.26,28.26,2.5,0.0,27.953333333333333,21.82254449478682,27.95478238095238,11.93000030517578,12.279999732971191,-0.3499994277954101,-1736.0,-0.20134310996426,35.0,4,2,1,0
