Fold,Model,Config,MAE,RMSE,sMAPE,R2
crisis,ARIMA,Price-Only,94.17,131.22,51.32,-0.1454
crisis,XGBoost,With Sentiment,73.5,126.9,38.33,-0.0712
crisis,LSTM,With Sentiment,70.35,92.68,40.57,0.4286
crisis,Transformer,With Sentiment,66.09,86.63,39.35,0.5008
crisis,GatedTransformer,With Sentiment,103.92,142.33,62.17,-0.3476
crisis,XGBoost,Without Sentiment,75.57,137.32,38.03,-0.2544
crisis,LSTM,Without Sentiment,70.74,92.04,40.63,0.4365
crisis,Transformer,Without Sentiment,68.94,92.13,40.1,0.4354
crisis,GatedTransformer,Without Sentiment,80.93,105.22,44.96,0.2635
